City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,broome,US,2021-09-27 03:23:19,42.2506,-75.833,57.54,71,75,5.75
70,puerto triunfo,CO,2021-09-27 03:23:19,5.8726,-74.6403,76.28,76,76,1.5
71,namatanai,PG,2021-09-27 03:23:12,-3.6667,152.4333,85.05,67,37,4.65
72,saldanha,ZA,2021-09-27 03:23:20,-33.0117,17.9442,53.65,90,3,14.34
73,khani,GE,2021-09-27 03:23:21,41.9563,42.9566,40.57,80,0,5.46
74,saint-philippe,RE,2021-09-27 03:23:21,-21.3585,55.7679,71.19,88,82,15.23
75,longyearbyen,SJ,2021-09-27 03:21:01,78.2186,15.6401,35.44,80,75,17.27
76,tuktoyaktuk,CA,2021-09-27 03:23:22,69.4541,-133.0374,32.0,86,75,14.97
77,busselton,AU,2021-09-27 03:23:22,-33.65,115.3333,62.1,70,79,11.9
78,torbay,CA,2021-09-27 03:23:23,47.6666,-52.7314,55.58,94,90,13.8
79,kingsport,US,2021-09-27 03:23:24,36.5484,-82.5618,58.51,82,1,3.0
80,bengkulu,ID,2021-09-27 03:23:24,-3.8004,102.2655,82.72,71,55,3.0
81,horta,PT,2021-09-27 03:23:24,38.5333,-28.6333,67.44,73,75,18.41
82,avarua,CK,2021-09-27 03:23:25,-21.2078,-159.775,78.85,69,20,3.44
83,mehamn,NO,2021-09-27 03:23:25,71.0357,27.8492,49.95,93,75,12.66
84,port elizabeth,ZA,2021-09-27 03:23:26,-33.918,25.5701,61.09,94,0,9.22
85,butaritari,KI,2021-09-27 03:23:26,3.0707,172.7902,83.68,73,71,14.85
86,guilin,CN,2021-09-27 03:23:27,25.2819,110.2864,89.71,56,3,2.28
87,tayoltita,MX,2021-09-27 03:21:18,24.0833,-105.9333,66.47,97,38,3.47
88,cape town,ZA,2021-09-27 03:20:43,-33.9258,18.4232,60.28,77,0,1.99
89,thaba nchu,ZA,2021-09-27 03:23:28,-29.2093,26.839,58.78,46,2,16.24
90,lima,PE,2021-09-27 03:21:52,-12.0432,-77.0282,59.25,85,90,4.61
91,tasiilaq,GL,2021-09-27 03:23:28,65.6145,-37.6368,33.96,74,17,6.91
92,upernavik,GL,2021-09-27 03:23:29,72.7868,-56.1549,24.48,67,2,5.3
93,luce,FR,2021-09-27 03:23:30,48.4369,1.4636,60.8,96,98,8.01
94,humberto de campos,BR,2021-09-27 03:23:30,-2.5983,-43.4611,78.13,83,71,6.76
95,avera,US,2021-09-27 03:23:31,33.194,-82.5271,65.71,61,0,1.86
96,nizhneangarsk,RU,2021-09-27 03:23:31,55.7833,109.55,38.55,53,99,3.76
97,port hardy,CA,2021-09-27 03:23:32,50.6996,-127.4199,55.4,94,90,17.27
98,ust-koksa,RU,2021-09-27 03:23:32,50.2696,85.6108,32.23,56,5,1.86
99,koshurnikovo,RU,2021-09-27 03:23:33,54.1667,93.3,31.59,96,100,4.34
100,otavi,NA,2021-09-27 03:23:33,-19.65,17.3333,67.46,14,21,3.65
101,cidreira,BR,2021-09-27 03:23:34,-30.1811,-50.2056,65.43,95,0,11.97
102,coos bay,US,2021-09-27 03:23:34,43.3665,-124.2179,70.32,97,90,11.5
103,santa fe,AR,2021-09-27 03:23:35,-31.6333,-60.7,69.01,57,0,1.01
104,saint anthony,US,2021-09-27 03:23:35,45.0205,-93.218,68.32,82,1,1.99
105,buchanan,LR,2021-09-27 03:23:35,5.8808,-10.0467,72.77,96,100,7.65
106,hasaki,JP,2021-09-27 03:23:36,35.7333,140.8333,79.29,62,8,19.06
107,baglung,NP,2021-09-27 03:23:36,28.2719,83.5898,77.59,67,41,0.6
108,salekhard,RU,2021-09-27 03:23:37,66.53,66.6019,30.54,83,37,4.9
109,qaqortoq,GL,2021-09-27 03:22:19,60.7167,-46.0333,32.5,50,1,6.69
110,isangel,VU,2021-09-27 03:17:47,-19.55,169.2667,78.91,73,75,11.5
111,bata,GQ,2021-09-27 03:23:38,1.8639,9.7658,75.33,91,99,4.79
112,mecca,SA,2021-09-27 03:23:38,21.4267,39.8261,83.12,56,84,4.12
113,clyde river,CA,2021-09-27 03:23:39,70.4692,-68.5914,25.57,88,46,8.63
114,kosh-agach,RU,2021-09-27 03:23:39,50.0,88.6667,24.53,52,77,0.96
115,chunoyar,RU,2021-09-27 03:23:40,57.4467,97.3217,37.11,98,100,5.77
116,state college,US,2021-09-27 03:23:40,40.7934,-77.86,60.1,74,40,3.0
117,atuona,PF,2021-09-27 03:23:41,-9.8,-139.0333,78.17,72,5,18.3
118,hofn,IS,2021-09-27 03:23:41,64.2539,-15.2082,41.31,64,89,10.85
119,east london,ZA,2021-09-27 03:23:42,-33.0153,27.9116,65.34,88,75,11.5
120,hithadhoo,MV,2021-09-27 03:20:07,-0.6,73.0833,82.49,75,100,17.07
121,lata,PT,2021-09-27 03:23:42,40.1629,-8.3327,62.82,97,93,0.81
122,hilo,US,2021-09-27 03:23:43,19.7297,-155.09,78.53,89,90,12.66
123,jamestown,US,2021-09-27 03:23:43,42.097,-79.2353,62.71,81,75,5.99
124,lac du bonnet,CA,2021-09-27 03:23:44,50.2536,-96.0612,51.96,72,100,5.01
125,kaitangata,NZ,2021-09-27 03:23:45,-46.2817,169.8464,49.93,50,5,8.52
126,vila,PT,2021-09-27 03:23:45,42.0304,-8.1588,55.33,93,100,6.76
127,lebu,CL,2021-09-27 03:23:45,-37.6167,-73.65,47.52,77,0,18.52
128,lundazi,ZM,2021-09-27 03:23:46,-12.2929,33.1782,64.78,52,8,4.9
129,chuy,UY,2021-09-27 03:23:46,-33.6971,-53.4616,56.62,94,13,5.17
130,arraial do cabo,BR,2021-09-27 03:23:47,-22.9661,-42.0278,71.1,87,65,20.96
131,kirakira,SB,2021-09-27 03:23:47,-10.4544,161.9205,84.06,73,97,10.6
132,chernyshevskiy,RU,2021-09-27 03:23:48,63.0128,112.4714,35.4,63,100,15.97
133,buraydah,SA,2021-09-27 03:23:48,26.326,43.975,70.25,34,52,3.31
134,gornopravdinsk,RU,2021-09-27 03:23:49,60.05,69.9,34.99,75,13,6.98
135,griffin,US,2021-09-27 03:23:49,33.2468,-84.2641,65.28,93,1,0.0
136,bathsheba,BB,2021-09-27 03:23:50,13.2167,-59.5167,79.41,94,75,4.61
137,boffa,GN,2021-09-27 03:23:50,10.1667,-14.0333,72.5,94,84,3.74
138,bayanday,RU,2021-09-27 03:23:51,53.0661,105.5139,42.67,43,13,4.16
139,vaini,TO,2021-09-27 03:23:51,-21.2,-175.2,77.16,83,75,4.61
140,pouebo,NC,2021-09-27 03:23:52,-20.4,164.5667,76.42,51,12,3.91
141,carnarvon,AU,2021-09-27 03:23:52,-24.8667,113.6333,69.87,46,0,16.11
142,cabo san lucas,MX,2021-09-27 03:19:55,22.8909,-109.9124,85.6,80,6,5.28
143,olafsvik,IS,2021-09-27 03:23:53,64.8945,-23.7142,38.3,72,100,27.11
